"","time","status","condition","subject","velocity","normVelocity"
"163",13,"S 2","VAN","subject 2",3.99362,1.3871989518543
"164",14,"S 2","VAN","subject 2",3.14808,1.14996424800151
"165",15,"S 2","VAN","subject 2",1.57362,0.459713365621969
"166",16,"NS 2","VAN","subject 2",5.74074,1.74932854218086
"167",17,"NS 2","VAN","subject 2",4.86006,1.58310625734715
"168",18,"NS 2","VAN","subject 2",3.97722,1.38309424620973
"169",19,"NS 2","VAN","subject 2",2.56398,0.945453339135978
"170",20,"NS 2","VAN","subject 2",3.18947,1.16298517108835
"171",21,"S 3","VAN","subject 2",3.92503,1.36991850572849
"172",22,"S 3","VAN","subject 2",5.57413,1.71992864599137
"173",23,"S 3","VAN","subject 2",12.3887,2.51759162840535
"174",24,"S 3","VAN","subject 2",26.9608,3.29475479929977
"175",25,"S 3","VAN","subject 2",14.73,2.69056488676119
"176",26,"NS 3","VAN","subject 2",6.25997,1.83577156994439
"177",27,"NS 3","VAN","subject 2",1.70233,0.537855016153651
"178",28,"NS 3","VAN","subject 2",1.97697,0.686610865317805
"179",29,"NS 3","VAN","subject 2",1.16894,0.164615729675022
"180",30,"NS 3","VAN","subject 2",1.02951,0.0387494482792785
"181",31,"S 4","VAN","subject 2",0.7043,-0.33645223682121
"182",32,"S 4","VAN","subject 2",0.756927,-0.265363658154835
"183",33,"S 4","VAN","subject 2",0.524649,-0.626144822163714
"184",34,"S 4","VAN","subject 2",0.333987,-1.0671514130205
"185",35,"S 4","VAN","subject 2",0.21125,-1.5084619950941
"186",36,"NS 4","VAN","subject 2",0.836083,-0.167137815441217
"187",37,"NS 4","VAN","subject 2",0.870328,-0.127460713682712
"188",38,"NS 4","VAN","subject 2",0.946096,-0.0448969525622849
"189",39,"NS 4","VAN","subject 2",0.187072,-1.62418613478301
"190",40,"NS 4","VAN","subject 2",0.0827463,-2.3778874704736
"191",41,"S 5","VAN","subject 2",0.34094,-1.04714001029915
"192",42,"S 5","VAN","subject 2",0.663518,-0.395240557430947
"193",43,"S 5","VAN","subject 2",2.86827,1.05718941921422
"194",44,"S 5","VAN","subject 2",11.1693,2.41406385395995
"195",45,"S 5","VAN","subject 2",40.4595,3.70054860398071
"196",46,"NS 5","VAN","subject 2",63.1148,4.14511371927367
"197",47,"NS 5","VAN","subject 2",50.36,3.91939575975756
"198",48,"NS 5","VAN","subject 2",NA,NA
"199",49,"NS 5","VAN","subject 2",NA,NA
"200",50,"NS 5","VAN","subject 2",NA,NA
"201",51,"S 6","VAN","subject 2",NA,NA
"202",52,"S 6","VAN","subject 2",NA,NA
"203",53,"S 6","VAN","subject 2",NA,NA
"204",54,"S 6","VAN","subject 2",NA,NA
"205",55,"S 6","VAN","subject 2",NA,NA
"206",56,"NS 6","VAN","subject 2",NA,NA
"207",57,"NS 6","VAN","subject 2",NA,NA
"208",58,"NS 6","VAN","subject 2",NA,NA
"209",59,"NS 6","VAN","subject 2",NA,NA
"210",60,"NS 6","VAN","subject 2",NA,NA
"211",61,"S 7","VAN","subject 2",NA,NA
"212",62,"S 7","VAN","subject 2",NA,NA
"213",63,"S 7","VAN","subject 2",NA,NA
"214",64,"S 7","VAN","subject 2",NA,NA
"215",65,"S 7","VAN","subject 2",NA,NA
"216",66,"NS 7","VAN","subject 2",NA,NA
"217",67,"NS 7","VAN","subject 2",NA,NA
"218",68,"NS 7","VAN","subject 2",NA,NA
"219",69,"NS 7","VAN","subject 2",NA,NA
"220",70,"NS 7","VAN","subject 2",NA,NA
"221",71,"S 8","VAN","subject 2",NA,NA
"222",72,"S 8","VAN","subject 2",NA,NA
"223",73,"S 8","VAN","subject 2",NA,NA
"224",74,"S 8","VAN","subject 2",NA,NA
"225",75,"S 8","VAN","subject 2",NA,NA
"226",76,"NS 8","VAN","subject 2",NA,NA
"227",77,"NS 8","VAN","subject 2",NA,NA
"228",78,"NS 8","VAN","subject 2",NA,NA
"229",79,"NS 8","VAN","subject 2",NA,NA
"230",80,"NS 8","VAN","subject 2",NA,NA
"231",81,"S 9","VAN","subject 2",NA,NA
"232",82,"S 9","VAN","subject 2",NA,NA
"233",83,"S 9","VAN","subject 2",NA,NA
"234",84,"S 9","VAN","subject 2",NA,NA
"235",85,"S 9","VAN","subject 2",NA,NA
"236",86,"NS 9","VAN","subject 2",NA,NA
"237",87,"NS 9","VAN","subject 2",NA,NA
"238",88,"NS 9","VAN","subject 2",NA,NA
"239",89,"NS 9","VAN","subject 2",NA,NA
"240",90,"NS 9","VAN","subject 2",NA,NA
"241",91,"S 10","VAN","subject 2",NA,NA
"242",92,"S 10","VAN","subject 2",NA,NA
"243",93,"S 10","VAN","subject 2",NA,NA
"244",94,"S 10","VAN","subject 2",NA,NA
"245",95,"S 10","VAN","subject 2",NA,NA
"246",96,"NS 10","VAN","subject 2",NA,NA
"247",97,"NS 10","VAN","subject 2",NA,NA
"248",98,"NS 10","VAN","subject 2",NA,NA
"249",99,"NS 10","VAN","subject 2",NA,NA
"250",100,"NS 10","VAN","subject 2",NA,NA
"251",101,"S 11","VAN","subject 2",NA,NA
"252",102,"S 11","VAN","subject 2",NA,NA
"253",103,"S 11","VAN","subject 2",NA,NA
"254",104,"S 11","VAN","subject 2",NA,NA
"255",105,"S 11","VAN","subject 2",NA,NA
"256",106,"NS 11","VAN","subject 2",NA,NA
"257",107,"NS 11","VAN","subject 2",NA,NA
"258",108,"NS 11","VAN","subject 2",NA,NA
"259",109,"NS 11","VAN","subject 2",NA,NA
"260",110,"NS 11","VAN","subject 2",NA,NA
"261",111,"S 12","VAN","subject 2",NA,NA
"262",112,"S 12","VAN","subject 2",NA,NA
"263",113,"S 12","VAN","subject 2",NA,NA
"264",114,"S 12","VAN","subject 2",NA,NA
"265",115,"S 12","VAN","subject 2",NA,NA
"266",116,"NS 12","VAN","subject 2",NA,NA
"267",117,"NS 12","VAN","subject 2",NA,NA
"268",118,"NS 12","VAN","subject 2",NA,NA
"269",119,"NS 12","VAN","subject 2",NA,NA
"270",120,"NS 12","VAN","subject 2",NA,NA
"271",121,"S 13","VAN","subject 2",NA,NA
"272",122,"S 13","VAN","subject 2",NA,NA
"273",123,"S 13","VAN","subject 2",NA,NA
"274",124,"S 13","VAN","subject 2",NA,NA
"275",125,"S 13","VAN","subject 2",NA,NA
"276",126,"NS 13","VAN","subject 2",NA,NA
"277",127,"NS 13","VAN","subject 2",NA,NA
"278",128,"NS 13","VAN","subject 2",NA,NA
"279",129,"NS 13","VAN","subject 2",NA,NA
"280",130,"NS 13","VAN","subject 2",NA,NA
"281",131,"S 14","VAN","subject 2",NA,NA
"282",132,"S 14","VAN","subject 2",NA,NA
"283",133,"S 14","VAN","subject 2",NA,NA
"284",134,"S 14","VAN","subject 2",NA,NA
"285",135,"S 14","VAN","subject 2",NA,NA
"286",136,"NS 14","VAN","subject 2",NA,NA
"287",137,"NS 14","VAN","subject 2",NA,NA
"288",138,"NS 14","VAN","subject 2",NA,NA
"289",139,"NS 14","VAN","subject 2",NA,NA
"290",140,"NS 14","VAN","subject 2",NA,NA
"291",141,"S 15","VAN","subject 2",NA,NA
"292",142,"S 15","VAN","subject 2",NA,NA
"293",143,"S 15","VAN","subject 2",NA,NA
"294",144,"S 15","VAN","subject 2",NA,NA
"295",145,"S 15","VAN","subject 2",NA,NA
"296",146,"NS 15","VAN","subject 2",NA,NA
"297",147,"NS 15","VAN","subject 2",NA,NA
"298",148,"NS 15","VAN","subject 2",NA,NA
"299",149,"NS 15","VAN","subject 2",NA,NA
"300",150,"NS 15","VAN","subject 2",NA,NA
"301",1,"S 1","VAN","subject 3",6.96061,1.94170273887696
"302",2,"S 1","VAN","subject 3",11.1076,2.40852943819023
"303",3,"S 1","VAN","subject 3",5.53528,1.71294711546974
"304",4,"S 1","VAN","subject 3",1.05337,0.0614431102927475
"305",5,"S 1","VAN","subject 3",0.476032,-0.72148081362784
"306",6,"NS 1","VAN","subject 3",0.257477,-1.31872169765109
"307",7,"NS 1","VAN","subject 3",0.281069,-1.23419492651552
"308",8,"NS 1","VAN","subject 3",0.216713,-1.48407037860463
"309",9,"NS 1","VAN","subject 3",0.291042,-1.20050548908363
"310",10,"NS 1","VAN","subject 3",0.135677,-1.92636343685555
"311",11,"S 2","VAN","subject 3",3.05302,1.11940135737552
"312",12,"S 2","VAN","subject 3",13.166,2.57839699287534
"313",13,"S 2","VAN","subject 3",14.5158,2.67592637867394
"314",14,"S 2","VAN","subject 3",11.4935,2.44265133689089
"315",15,"S 2","VAN","subject 3",4.92034,1.59540795119383
"316",16,"NS 2","VAN","subject 3",3.1426,1.1482275092103
"317",17,"NS 2","VAN","subject 3",1.54599,0.44211199900033
"318",18,"NS 2","VAN","subject 3",2.04034,0.718005633056656
"319",19,"NS 2","VAN","subject 3",1.37585,0.326313669802727
"320",20,"NS 2","VAN","subject 3",4.26106,1.45186203999292
"321",21,"S 3","VAN","subject 3",10.8658,2.3865401374875
"322",22,"S 3","VAN","subject 3",10.6654,2.36794202913867
"323",23,"S 3","VAN","subject 3",5.88596,1.77426737060351
"324",24,"S 3","VAN","subject 3",2.42569,0.890230083950018
"325",25,"S 3","VAN","subject 3",2.86962,1.05765834099798
