"","time","status","condition","subject","acceleration"
"203",54,"S","VAN","subject 2",NA
"204",55,"S","VAN","subject 2",NA
"205",56,"NS","VAN","subject 2",NA
"206",57,"NS","VAN","subject 2",NA
"207",58,"NS","VAN","subject 2",NA
"208",59,"NS","VAN","subject 2",NA
"209",60,"NS","VAN","subject 2",NA
"210",61,"S","VAN","subject 2",NA
"211",62,"S","VAN","subject 2",NA
"212",63,"S","VAN","subject 2",NA
"213",64,"S","VAN","subject 2",NA
"214",65,"S","VAN","subject 2",NA
"215",66,"NS","VAN","subject 2",NA
"216",67,"NS","VAN","subject 2",NA
"217",68,"NS","VAN","subject 2",NA
"218",69,"NS","VAN","subject 2",NA
"219",70,"NS","VAN","subject 2",NA
"220",71,"S","VAN","subject 2",NA
"221",72,"S","VAN","subject 2",NA
"222",73,"S","VAN","subject 2",NA
"223",74,"S","VAN","subject 2",NA
"224",75,"S","VAN","subject 2",NA
"225",76,"NS","VAN","subject 2",NA
"226",77,"NS","VAN","subject 2",NA
"227",78,"NS","VAN","subject 2",NA
"228",79,"NS","VAN","subject 2",NA
"229",80,"NS","VAN","subject 2",NA
"230",81,"S","VAN","subject 2",NA
"231",82,"S","VAN","subject 2",NA
"232",83,"S","VAN","subject 2",NA
"233",84,"S","VAN","subject 2",NA
"234",85,"S","VAN","subject 2",NA
"235",86,"NS","VAN","subject 2",NA
"236",87,"NS","VAN","subject 2",NA
"237",88,"NS","VAN","subject 2",NA
"238",89,"NS","VAN","subject 2",NA
"239",90,"NS","VAN","subject 2",NA
"240",91,"S","VAN","subject 2",NA
"241",92,"S","VAN","subject 2",NA
"242",93,"S","VAN","subject 2",NA
"243",94,"S","VAN","subject 2",NA
"244",95,"S","VAN","subject 2",NA
"245",96,"NS","VAN","subject 2",NA
"246",97,"NS","VAN","subject 2",NA
"247",98,"NS","VAN","subject 2",NA
"248",99,"NS","VAN","subject 2",NA
"249",100,"NS","VAN","subject 2",NA
"250",101,"S","VAN","subject 2",NA
"251",102,"S","VAN","subject 2",NA
"252",103,"S","VAN","subject 2",NA
"253",104,"S","VAN","subject 2",NA
"254",105,"S","VAN","subject 2",NA
"255",106,"NS","VAN","subject 2",NA
"256",107,"NS","VAN","subject 2",NA
"257",108,"NS","VAN","subject 2",NA
"258",109,"NS","VAN","subject 2",NA
"259",110,"NS","VAN","subject 2",NA
"260",111,"S","VAN","subject 2",NA
"261",112,"S","VAN","subject 2",NA
"262",113,"S","VAN","subject 2",NA
"263",114,"S","VAN","subject 2",NA
"264",115,"S","VAN","subject 2",NA
"265",116,"NS","VAN","subject 2",NA
"266",117,"NS","VAN","subject 2",NA
"267",118,"NS","VAN","subject 2",NA
"268",119,"NS","VAN","subject 2",NA
"269",120,"NS","VAN","subject 2",NA
"270",121,"S","VAN","subject 2",NA
"271",122,"S","VAN","subject 2",NA
"272",123,"S","VAN","subject 2",NA
"273",124,"S","VAN","subject 2",NA
"274",125,"S","VAN","subject 2",NA
"275",126,"NS","VAN","subject 2",NA
"276",127,"NS","VAN","subject 2",NA
"277",128,"NS","VAN","subject 2",NA
"278",129,"NS","VAN","subject 2",NA
"279",130,"NS","VAN","subject 2",NA
"280",131,"S","VAN","subject 2",NA
"281",132,"S","VAN","subject 2",NA
"282",133,"S","VAN","subject 2",NA
"283",134,"S","VAN","subject 2",NA
"284",135,"S","VAN","subject 2",NA
"285",136,"NS","VAN","subject 2",NA
"286",137,"NS","VAN","subject 2",NA
"287",138,"NS","VAN","subject 2",NA
"288",139,"NS","VAN","subject 2",NA
"289",140,"NS","VAN","subject 2",NA
"290",141,"S","VAN","subject 2",NA
"291",142,"S","VAN","subject 2",NA
"292",143,"S","VAN","subject 2",NA
"293",144,"S","VAN","subject 2",NA
"294",145,"S","VAN","subject 2",NA
"295",146,"NS","VAN","subject 2",NA
"296",147,"NS","VAN","subject 2",NA
"297",148,"NS","VAN","subject 2",NA
"298",149,"NS","VAN","subject 2",NA
"299",1,"S","VAN","subject 3",4.14699
"300",2,"S","VAN","subject 3",-5.57232
"301",3,"S","VAN","subject 3",-4.48191
"302",4,"S","VAN","subject 3",-0.577338
"303",5,"S","VAN","subject 3",-0.218555
"304",6,"NS","VAN","subject 3",0.023592
"305",7,"NS","VAN","subject 3",-0.064356
"306",8,"NS","VAN","subject 3",0.074329
"307",9,"NS","VAN","subject 3",-0.155365
"308",10,"NS","VAN","subject 3",2.917343
"309",11,"S","VAN","subject 3",10.11298
"310",12,"S","VAN","subject 3",1.3498
"311",13,"S","VAN","subject 3",-3.0223
"312",14,"S","VAN","subject 3",-6.57316
"313",15,"S","VAN","subject 3",-1.77774
"314",16,"NS","VAN","subject 3",-1.59661
"315",17,"NS","VAN","subject 3",0.49435
"316",18,"NS","VAN","subject 3",-0.66449
"317",19,"NS","VAN","subject 3",2.88521
"318",20,"NS","VAN","subject 3",6.60474
"319",21,"S","VAN","subject 3",-0.2004
"320",22,"S","VAN","subject 3",-4.77944
"321",23,"S","VAN","subject 3",-3.46027
"322",24,"S","VAN","subject 3",0.44393
"323",25,"S","VAN","subject 3",0.52379
"324",26,"NS","VAN","subject 3",2.2536
"325",27,"NS","VAN","subject 3",5.13659
"326",28,"NS","VAN","subject 3",2.9575
"327",29,"NS","VAN","subject 3",-0.420499999999999
"328",30,"NS","VAN","subject 3",-1.664
"329",31,"S","VAN","subject 3",-9.04473
"330",32,"S","VAN","subject 3",-0.29414
"331",33,"S","VAN","subject 3",-0.25986
"332",34,"S","VAN","subject 3",-0.60538
"333",35,"S","VAN","subject 3",-0.20924
"334",36,"NS","VAN","subject 3",-0.251295
"335",37,"NS","VAN","subject 3",-0.215655
"336",38,"NS","VAN","subject 3",0.52695
"337",39,"NS","VAN","subject 3",-0.31375
"338",40,"NS","VAN","subject 3",-0.213199
"339",41,"S","VAN","subject 3",-0.099247
"340",42,"S","VAN","subject 3",2.861956
"341",43,"S","VAN","subject 3",-0.9393
"342",44,"S","VAN","subject 3",0.0637300000000001
"343",45,"S","VAN","subject 3",-0.48057
"344",46,"NS","VAN","subject 3",-0.36648
"345",47,"NS","VAN","subject 3",-0.34974
"346",48,"NS","VAN","subject 3",-0.761327
"347",49,"NS","VAN","subject 3",0.779077
"348",50,"NS","VAN","subject 3",-0.39965
"349",51,"S","VAN","subject 3",-0.478834
"350",52,"S","VAN","subject 3",-0.369296
"351",53,"S","VAN","subject 3",0.241002
"352",54,"S","VAN","subject 3",-0.256408
"353",55,"S","VAN","subject 3",-0.042584
"354",56,"NS","VAN","subject 3",-0.021935
"355",57,"NS","VAN","subject 3",0.00014900000000001
"356",58,"NS","VAN","subject 3",-0.010021
